"","Symbol","Company Name","Trading Name","ISIN Code"
"24",8230,"Al-Rajhi Company for Cooperative Insurance","ALRAJHI TAKAFUL","SA12A0540J14"
"25",4338,"AlAhli REIT Fund 1","ALAHLI REIT 1","SA14E0523P52"
"26",4320,"Alandalus Property Co.","ALANDALUS","SA13U0923G19"
"27",4163,"Aldawaa Medical Services Co.","ALDAWAA","SA15H14I11H6"
"28",4200,"Aldrees Petroleum and Transport Services Co.","ALDREES","SA000A0HNGZ6"
"29",1150,"Alinma Bank","ALINMA","SA122050HV19"
"30",8312,"Alinma Tokio Marine Co.","ALINMA TOKIO M","SA131G541S17"
"31",4331,"AlJazira REIT","ALJAZIRA REIT","SA148G523LL8"
"32",8012,"Aljazira Takaful Taawuni Co.","JAZIRA TAKAFUL","SA13AG53T618"
"33",4348,"Alkhabeer REIT Fund","ALKHABEER REIT","SA14LG523U13"
"34",4290,"Alkhaleej Training and Education Co.","ALKHALEEJ TRNG","SA11TH0I3111"
"35",2081,"Alkhorayef Water and Power Technologies Co.","AWPT","SA1591410GH0"
"36",8040,"Allianz Saudi Fransi Cooperative Insurance Co.","ALLIANZ SF","SA000A0MLUG1"
"37",8150,"Allied Cooperative Insurance Group","ACIG","SA000A0SR838"
"38",2280,"Almarai Co.","ALMARAI","SA000A0ETHT1"
"39",1322,"Almasane Alkobra Mining Co.","AMAK","SA15HG50KL10"
"40",4162,"Almunajem Foods Co.","ALMUNAJEM","SA15DGU21117"
"41",2170,"Alujain Holding Corp.","ALUJAIN","SA0007879345"
"42",8310,"Amana Cooperative Insurance Co.","AMANA INSURANCE","SA12HG541R18"
"43",1182,"Amlak International for Real Estate Finance Co.","AMLAK","SA153G80IF11"
"44",4061,"Anaam International Holding Group","ANAAM HOLDING","SA0007870088"
"45",1080,"Arab National Bank","ANB","SA0007879105"
"46",7201,"Arab Sea Information System Co.","ARAB SEA","SA1520CJGGH7"
"47",8160,"Arabia Insurance Cooperative Co.","AICC","SA11T053VG15"
"48",3010,"Arabian Cement Co.","ACC","SA0007879915"
"49",4321,"Arabian Centres Co.","ALMRAKEZ","SA14QG523GH3"
"50",4071,"Arabian Contracting Services Co.","ALARABIA","SA15D1I1VJH7"
"51",7202,"Arabian Internet and Communications Services Co.","SOLUTIONS","SA15CIBJGH12"
"52",2200,"Arabian Pipes Co.","APC","SA0007879378"
"53",8070,"Arabian Shield Cooperative Insurance Co.","ARABIAN SHIELD","SA000A0MLUH9"
"54",4150,"Arriyadh Development Co.","ARDCO","SA0007879683"
"55",4080,"Aseer Trading, Tourism and Manufacturing Co.","ASEER","SA0007870104"
"56",6060,"Ash-Sharqiyah Development Co.","SHARQIYAH DEV","SA0007879618"
"57",1212,"Astra Industrial Group","ASTRA INDUSTRIAL","SA11RGL0IU14"
"58",4292,"Ataa Educational Co.","ATAA","SA11RGEI3218"
"59",8250,"AXA Cooperative Insurance Co.","AXA COOPERATIVE","SA12A0540T12"
"60",2140,"AYYAN Investment Co.","AYYAN","SA0007879261"
"61",4051,"Baazeem Trading Co.","BAAZEEM","SA14TGQHV9H8"
"62",1140,"Bank Albilad","ALBILAD","SA000A0D9HK3"
"63",1020,"Bank Aljazira","BJAZ","SA0007879055"
"64",1050,"Banque Saudi Fransi","BSFR","SA0007879782"
"65",1210,"Basic Chemical Industries Co.","BCI","SA122GF0IT17"
"66",4110,"Batic Investments and Logistics Co.","BATIC","SA0007879808"
"67",1302,"Bawan Co.","BAWAN","SA13DG50KB18"
"68",4161,"BinDawood Holding Co.","BINDAWOOD","SA154HG210H6"
"69",4347,"Bonyan REIT Fund","BONYAN REIT","SA14I0523TL9"
"70",8210,"Bupa Arabia for Cooperative Insurance Co.","BUPA ARABIA","SA1210540914"
"71",8270,"Buruj Cooperative Insurance Co.","BURUJ","SA12CG541714"
"72",8240,"CHUBB Arabia Cooperative Insurance Co.","CHUBB","SA12A0540O17"
"73",3003,"City Cement Co.","CITY CEMENT","SA134G51ETH6"
"74",4004,"Dallah Healthcare Co.","DALLAH HEALTH","SA135G51UI10"
"75",4300,"Dar Alarkan Real Estate Development Co.","DAR ALARKAN","SA11U0S23612"
"76",4339,"Derayah REIT Fund","DERAYAH REIT","SA14E0523PL6"
"77",6013,"Development Works Food Co.","DWF","SA15DG52TUH8"
"78",4013,"Dr. Sulaiman Al Habib Medical Services Group","SULAIMAN ALHABIB","SA1510P1UMH1"
"79",4010,"Dur Hospitality Co.","DUR","SA0007870039"
